"17E19'42""";"50N28'28""";1607054
"17E55'27""";"50N39'45""";1661011
"22E45'57""";"49N46'25""";1862011
"22E29'03""";"49N54'04""";1804074
"21E59'09""";"50N03'01""";1863011
"21E47'20""";"49N53'14""";0604032
"21E00'51""";"49N59'04""";1016092
"19E48'15""";"50N01'09""";1261011
"19E34'45""";"50N16'16""";1212054
"18E01'44""";"53N07'58""";0461011
"19E25'32""";"54N10'45""";2861011
"18E29'21""";"54N32'23""";2262011
"18E31'58""";"54N30'59""";2262011
"18E32'57""";"54N30'02""";2262011
"18E30'33""";"54N29'55""";2262011
"18E35'08""";"54N22'49""";2261011
"18E32'05""";"54N32'42""";2262011
"18E21'54""";"54N36'03""";2215011
"18E37'28""";"54N23'16""";2261011
"18E34'43""";"54N23'49""";2261011
"18E39'01""";"54N21'22""";2261011
"18E26'09""";"54N27'10""";2205085
"18E32'32""";"54N02'48""";2213122
"20E31'06""";"53N45'11""";2862011
"21E17'54""";"53N52'00""";2810011
"17E00'29""";"54N28'09""";2263011
"16E58'39""";"54N01'14""";2201064
"21E46'34""";"54N02'35""";2806011
"18E35'29""";"53N00'38""";0463011
"18E28'28""";"54N21'48""";2261011
"20E02'42""";"51N32'52""";1016011
"20E34'48""";"52N52'19""";1402011
"21E44'41""";"50N41'03""";2609011
"20E51'18""";"51N07'10""";2610011
"19E28'15""";"51N44'53""";1061011
"18E35'46""";"53N10'44""";0415011
"22E02'00""";"53N10'10""";2062011
"20E52'20""";"51N07'07""";2610011
"20E15'31""";"51N23'15""";1007044
"21E00'41""";"52N13'04""";1465011
"21E02'40""";"52N17'26""";1465011
"21E04'59""";"52N14'12""";1465011
"21E02'50""";"52N11'13""";1465011
"20E56'07""";"52N16'19""";1465011
"20E55'49""";"52N24'12""";1408011
"21E16'07""";"52N04'38""";1417044
"20E57'18""";"52N13'41""";1465011
"20E59'40""";"52N14'30""";1465011
"20E52'20""";"52N11'42""";1465011
"21E00'17""";"52N10'11""";1465011
"21E09'42""";"52N18'53""";1434041
"20E37'58""";"52N06'10""";1405044
"20E57'28""";"52N17'00""";1465011
"21E17'44""";"52N14'28""";1412151
"21E09'43""";"52N15'33""";1465011
"20E59'01""";"52N18'31""";1465011
"20E58'15""";"52N12'39""";1465011
"21E02'49""";"52N16'04""";1465011
"20E57'51""";"52N15'33""";1465011
"21E05'30""";"52N11'28""";1465011
"21E02'40""";"52N11'58""";1465011
"20E55'54""";"52N09'48""";1465011
"20E54'31""";"52N17'51""";1465011
"20E55'10""";"52N13'47""";1465011
"20E37'36""";"52N26'10""";1414064
"21E03'55""";"52N19'37""";1465011
"20E27'44""";"52N15'57""";1465011
"20E51'15""";"51N58'19""";2613012
"21E02'12""";"52N13'32""";1465011
"21E00'57""";"52N13'20""";1465011
"20E57'31""";"52N11'53""";1465011
"21E01'17""";"52N12'31""";1465011
"20E58'55""";"52N14'59""";1465011
"20E56'55""";"52N16'48""";1465011
"20E53'58""";"52N11'40""";1465011
"20E43'54""";"52N23'16""";1414022
"21E01'57""";"52N17'52""";1465011
"21E14'25""";"52N07'44""";0611072
"21E01'10""";"52N09'22""";1465011
"21E01'30""";"52N11'43""";1465011
"21E07'16""";"52N01'57""";1418015
"20E50'03""";"52N10'51""";1421011
"21E00'42""";"52N14'12""";1465011
"20E59'56""";"52N17'36""";1465011
"21E05'04""";"52N15'08""";1465011
"21E01'42""";"52N12'04""";1465011
"21E01'41""";"52N16'31""";1465011
"21E01'39""";"52N10'29""";1465011
"20E59'39""";"52N13'48""";1465011
"20E37'49""";"52N07'39""";1405045
"21E04'20""";"52N16'11""";1465011
"21E02'32""";"52N01'31""";1418045
"21E11'15""";"51N59'21""";1418014
"21E11'44""";"52N20'04""";1434011
"21E15'06""";"52N21'12""";1434124
"22E57'55""";"50N41'35""";0620134
"21E00'02""";"52N12'11""";1465011
"20E32'13""";"52N24'01""";1414032
"21E02'37""";"52N12'53""";1465011
"20E37'28""";"52N04'50""";1405045
"20E48'35""";"52N06'22""";1421062
"21E36'55""";"53N03'23""";1461011
"20E51'50""";"53N00'24""";1422011
"21E03'07""";"52N13'48""";1465011
"21E06'20""";"52N14'45""";1465011
"20E42'54""";"52N08'38""";1421034
"21E01'50""";"52N15'34""";1465011
"20E58'03""";"52N14'11""";1465011
"21E00'04""";"52N11'41""";1465011
"20E57'02""";"52N12'44""";1465011
"20E59'32""";"52N14'03""";1465011
"20E54'30""";"52N20'06""";1432054
"21E09'34""";"52N17'54""";1434041
"21E18'49""";"49N52'07""";1803052
"21E10'10""";"52N24'06""";1434094
"21E01'53""";"52N08'48""";1465011
"21E05'03""";"52N12'27""";1465011
"21E02'14""";"52N12'23""";1465011
"20E52'56""";"52N14'39""";1802052
"20E41'32""";"52N26'48""";1414011
"20E53'57""";"52N15'04""";1465011
"17E02'19""";"52N24'24""";3064011
"17E00'28""";"51N05'23""";0264011
"18E38'05""";"53N01'17""";0463011
"18E36'31""";"53N01'09""";0463011
"20E37'54""";"50N52'36""";2661011
"20E43'08""";"50N28'05""";2601014
"21E05'40""";"51N02'56""";2611011
